Task Name,Task Role,Status,Start Date,End Date,Category,Priority,Notes,Parent Task,Subtasks,Earliest Subtask End Date,Latest Subtask End Date,Milestone
Set Engagement KPIs,Subtask,Not started,"July 25, 2025",,Strategy,Medium,Define benchmarks for campaign impact,Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),,,,
"Modular Content Blocks
",Subtask,In progress,"July 23, 2025","August 9, 2025",Website,,Develop a reusable content system in WordPress. Establish visual and functional patterns (cards,Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Conduct brand audit,Subtask,Done,"August 5, 2025","August 9, 2025",Strategy,Medium,"Evaluate current
  brand perceptions and document key attributes for refinement.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Define brand personality,Subtask,Not started,"July 16, 2025","July 23, 2025",Strategy,Medium,"Establish tone, voice, and emotional resonance aligned with core values.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Finalize logo and system,Subtask,Not started,"July 23, 2025","July 29, 2025",Strategy,Medium,"Complete development of logo, alternates,  and usage system.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Test visual applications,Subtask,Not started,"July 20, 2025","July 24, 2025",Strategy,Medium,"Articulate key themes through visual
  application tests (print, web, promo).",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Document brand guidelines,Subtask,Not started,"August 2, 2025","August 6, 2025",Strategy,Medium,"Coordinate message cohesion and visual
  system rules across formats.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Sync internal communications calendar,Subtask,Not started,"August 3, 2025","August 12, 2025",Strategy,Medium,"Integrate Preserve Explorer, acquisition,
  and fundraising into content plan.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),,,,
Draft campaign messaging pillars,Subtask,Not started,"July 17, 2025","July 20, 2025",Strategy,Medium,"Develop and structure reusable
  pillar-based copy themes.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),,,,
Map content cadence to key dates,Subtask,Not started,"July 18, 2025","July 24, 2025",Strategy,Medium,"Define target metrics for engagement
  throughout funnel.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),,,,
Design template library,Subtask,Not started,"July 23, 2025","July 26, 2025",Strategy,Medium,"Ensure strategic alignment across PDFs,
  web, social, and print.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Align with development milestones,Subtask,Not started,"August 2, 2025","August 8, 2025",Strategy,Medium,"Deliver on core brand assets, UX
  milestones, and acquisition timeline.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Audit current homepage,Subtask,Not started,"August 5, 2025","August 14, 2025",Website,High,"Design, document, and organize content
  inventory + UX feedback.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Roll out across platforms,Subtask,Not started,"July 28, 2025","August 4, 2025",Brand,Medium,Identify where users convert or fall off and migrate brand accordingly.,Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Design templates,Subtask,Not started,"July 21, 2025","July 31, 2025",Brand,Medium,"Diagram entry points and embed
  storytelling templates across segments.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Create icon set,Subtask,Not started,"August 2, 2025","August 8, 2025",Brand,Medium,"Clean up legacy field clutter and build
  ownable iconography.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Define typography scale,Subtask,Not started,"August 4, 2025","August 9, 2025",Brand,Medium,"Clarify what data should sync to Constant
  Contact + build doc.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Finalize color palette,Subtask,Not started,"July 24, 2025","July 28, 2025",Brand,Medium,"Implement Flows to send renewal + event
  reminders based on filters.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Publish and promote,Subtask,Not started,"July 27, 2025","August 2, 2025",Brand,Medium,Sketch narrative arc for DCLT annual campaigns and online presence.,Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
Edit and review drafts,Subtask,Not started,"July 21, 2025","July 29, 2025",Brand,Medium,Schedule and plan on-location shoots or member interviews.,Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
Coordinate shoot schedule,Subtask,Not started,"August 5, 2025","August 13, 2025",Brand,Medium,"Finalize post-production and video drafts
  in time for rollout.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
Write video briefs,Subtask,Not started,"July 24, 2025","August 3, 2025",Brand,Medium,"Evaluate current brand perceptions and
  document key attributes for refinement.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
Identify key video goals,Subtask,Not started,"July 19, 2025","July 28, 2025",Brand,Medium,"Establish tone, voice, and emotional
  resonance aligned with core values.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
Train team on updates,Subtask,Not started,"July 18, 2025","July 24, 2025",CRM,Medium,"Complete development of logo, alternates,  and usage system.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),,,,
Test form submissions,Subtask,Not started,"July 23, 2025","July 30, 2025",CRM,Medium,"Articulate the key themes through visual  application tests (print, web, promo).",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Configure flows,Subtask,Not started,"July 18, 2025","July 21, 2025",CRM,Medium,Coordinate message cadence and visual system rules across formats.,Salesforce Integration (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Salesforce%20Integration%202322a8cd575580e8a2dac06f25445d7e.md),,,,
Create field mappings,Subtask,Not started,"August 3, 2025","August 9, 2025",CRM,Medium,"Integrate Preserve Explorer, acquisition,  and fundraising into content plan.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
Define data model,Subtask,Not started,"August 5, 2025","August 13, 2025",CRM,Medium,"Develop and structure reusable
  pillar-based copy themes.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
QA and publish,Subtask,Not started,"August 2, 2025","August 9, 2025",Website,High,"Define target metrics for engagement
  throughout funnel.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),,,,
Develop in WordPress,Subtask,Not started,"July 28, 2025","August 1, 2025",Website,High,"Ensure strategic alignment across PDFs,
  web, social, and print.",,,,,
Design in Figma,Subtask,Not started,"August 2, 2025","August 6, 2025",Website,High,"Deliver all core brand assets, UX
  milestones, and acquisition timeline.",,,,,
Sketch new block types,Subtask,Not started,"July 17, 2025","July 27, 2025",Website,High,"Design, document, and organize content
  inventory + UX feedback.",,,,,
Inventory existing blocks,Subtask,Not started,"August 4, 2025","August 11, 2025",Website,High,"Identify where users convert or fall off
  and migrate brand accordingly.",,,,,
Define engagement metrics,Subtask,Not started,"July 27, 2025","August 4, 2025",Messaging,High,"Diagram entry points and embed
  storytelling templates across segments.",,,,,
Align donation forms and asks,Subtask,Not started,"July 28, 2025","August 1, 2025",Messaging,High,"Clean up legacy field clutter and build
  ownable iconography.",,,,,
Outline email nurture paths,Subtask,Not started,"July 19, 2025","July 23, 2025",Messaging,High,Clarify what data should sync to Constant   Contact + build doc.,,,,,
Design entry points and CTAs,Subtask,Not started,"July 22, 2025","July 30, 2025",Messaging,High,"Implement Flows to send renewal + event
  reminders based on filters.",Supporter Funnel Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Supporter%20Funnel%20Strategy%202322a8cd57558055a92cd8a91ce9589e.md),,,,
Segment audiences by behavior,Subtask,Not started,"July 24, 2025","July 29, 2025",Messaging,High,Sketch narrative arc for DCLT annual  campaigns and online presence.,Supporter Funnel Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Supporter%20Funnel%20Strategy%202322a8cd57558055a92cd8a91ce9589e.md),,,,
Revise and finalize,Subtask,Not started,"July 29, 2025","August 6, 2025",Website,High,Schedule and plan on-location shoots or member interviews.,Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),,,,
User test layout,Subtask,Not started,"July 16, 2025","July 21, 2025",Website,High,"Finalize post-production and video drafts
  in time for rollout.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),,,,
Review with stakeholders,Subtask,Not started,"August 3, 2025","August 10, 2025",Website,High,"Schedule and plan on-location shoots or
  member interviews.",,,,,
Draft new IA and wireframe,Subtask,Not started,"July 23, 2025","August 2, 2025",Website,High,"Finalize post-production and video drafts
  in time for rollout.",,,,,
