Task Name,Category,Earliest Subtask End Date,End Date,Latest Subtask End Date,Milestone,Notes,Parent Task,Priority,Start Date,Status,Subtasks,Task Role
Video Strategy,Brand,"July 29, 2025,August 5, 2025,August 3, 2025,July 19, 2025,July 24, 2025,August 5, 2025,July 21, 2025,July 27, 2025","August 12, 2025","Aug 13, 2025",Ready To Launch,"Plan, script, and schedule short-form videos to support key campaigns (e.g., Bear Creek, Little Sturgeon, annual appeal). Include internal video standards, timelines, and post-production workflow.",,Medium,"July 24, 2025",Not started,"Revise and finalize (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Revise%20and%20finalize%202322a8cd575580618df5f5ae48244c5c.md), Define data model (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Define%20data%20model%202322a8cd575580b687fcf6fd8e39ccfd.md), Create field mappings (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Create%20field%20mappings%202322a8cd57558036bcffdebb73a6a995.md), Identify key video goals (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Identify%20key%20video%20goals%202322a8cd57558025b9a2dff84ab280e0.md), Write video briefs (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Write%20video%20briefs%202322a8cd575580af8bd0fdc5d3268861.md), Coordinate shoot schedule (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Coordinate%20shoot%20schedule%202322a8cd57558040960af1aca4caf1e3.md), Edit and review drafts (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Edit%20and%20review%20drafts%202322a8cd5755807bb6afdbbcfac1fb08.md), Publish and promote (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Publish%20and%20promote%202322a8cd575580028e06c09ae266821c.md)",Parent Task
,,,,,,,,,,,,
Conduct brand audit,Strategy,,"August 9, 2025",,,"Evaluate current
  brand perceptions and document key attributes for refinement.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"August 5, 2025",Done,,Subtask
Audit current homepage,Website,,"August 14, 2025",,,"Design, document, and organize content
  inventory + UX feedback.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),High,"August 5, 2025",Not started,,Subtask
Align with development milestones,Strategy,,"August 8, 2025",,,"Deliver on core brand assets, UX
  milestones, and acquisition timeline.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),Medium,"August 2, 2025",Not started,,Subtask
Design template library,Strategy,,"July 26, 2025",,,"Ensure strategic alignment across PDFs,
  web, social, and print.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),Medium,"July 23, 2025",Not started,,Subtask
Map content cadence to key dates,Strategy,,"July 24, 2025",,,"Define target metrics for engagement
  throughout funnel.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),Medium,"July 18, 2025",Not started,,Subtask
Draft campaign messaging pillars,Strategy,,"July 20, 2025",,,"Develop and structure reusable
  pillar-based copy themes.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),Medium,"July 17, 2025",Not started,,Subtask
Sync internal communications calendar,Strategy,,"August 12, 2025",,,"Integrate Preserve Explorer, acquisition,
  and fundraising into content plan.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),Medium,"August 3, 2025",Not started,,Subtask
Document brand guidelines,Strategy,,"August 6, 2025",,,"Coordinate message cohesion and visual
  system rules across formats.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"August 2, 2025",Not started,,Subtask
Test visual applications,Strategy,,"July 24, 2025",,,"Articulate key themes through visual
  application tests (print, web, promo).",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"July 20, 2025",Not started,,Subtask
Finalize logo and system,Strategy,,"July 29, 2025",,,"Complete development of logo, alternates,  and usage system.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"July 23, 2025",Not started,,Subtask
Define brand personality,Strategy,,"July 23, 2025",,,"Establish tone, voice, and emotional resonance aligned with core values.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"July 16, 2025",Not started,,Subtask
Draft new IA and wireframe,Website,,"August 2, 2025",,,"Finalize post-production and video drafts
  in time for rollout.",,High,"July 23, 2025",Not started,,Subtask
Review with stakeholders,Website,,"August 10, 2025",,,"Schedule and plan on-location shoots or
  member interviews.",,High,"August 3, 2025",Not started,,Subtask
User test layout,Website,,"July 21, 2025",,,"Finalize post-production and video drafts
  in time for rollout.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),High,"July 16, 2025",Not started,,Subtask
Revise and finalize,Website,,"August 6, 2025",,,Schedule and plan on-location shoots or member interviews.,Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),High,"July 29, 2025",Not started,,Subtask
Segment audiences by behavior,Messaging,,"July 29, 2025",,,Sketch narrative arc for DCLT annual  campaigns and online presence.,Supporter Funnel Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Supporter%20Funnel%20Strategy%202322a8cd57558055a92cd8a91ce9589e.md),High,"July 24, 2025",Not started,,Subtask
Design entry points and CTAs,Messaging,,"July 30, 2025",,,"Implement Flows to send renewal + event
  reminders based on filters.",Supporter Funnel Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Supporter%20Funnel%20Strategy%202322a8cd57558055a92cd8a91ce9589e.md),High,"July 22, 2025",Not started,,Subtask
Outline email nurture paths,Messaging,,"July 23, 2025",,,Clarify what data should sync to Constant   Contact + build doc.,,High,"July 19, 2025",Not started,,Subtask
Align donation forms and asks,Messaging,,"August 1, 2025",,,"Clean up legacy field clutter and build
  ownable iconography.",,High,"July 28, 2025",Not started,,Subtask
Define engagement metrics,Messaging,,"August 4, 2025",,,"Diagram entry points and embed
  storytelling templates across segments.",,High,"July 27, 2025",Not started,,Subtask
Inventory existing blocks,Website,,"August 11, 2025",,,"Identify where users convert or fall off
  and migrate brand accordingly.",,High,"August 4, 2025",Not started,,Subtask
Sketch new block types,Website,,"July 27, 2025",,,"Design, document, and organize content
  inventory + UX feedback.",,High,"July 17, 2025",Not started,,Subtask
Design in Figma,Website,,"August 6, 2025",,,"Deliver all core brand assets, UX
  milestones, and acquisition timeline.",,High,"August 2, 2025",Not started,,Subtask
Develop in WordPress,Website,,"August 1, 2025",,,"Ensure strategic alignment across PDFs,
  web, social, and print.",,High,"July 28, 2025",Not started,,Subtask
QA and publish,Website,,"August 9, 2025",,,"Define target metrics for engagement
  throughout funnel.",Communications Plan (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Communications%20Plan%202322a8cd57558057958af2cf755b6b2a.md),High,"August 2, 2025",Not started,,Subtask
Define data model,CRM,,"August 13, 2025",,,"Develop and structure reusable
  pillar-based copy themes.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"August 5, 2025",Not started,,Subtask
Create field mappings,CRM,,"August 9, 2025",,,"Integrate Preserve Explorer, acquisition,  and fundraising into content plan.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"August 3, 2025",Not started,,Subtask
Configure flows,CRM,,"July 21, 2025",,,Coordinate message cadence and visual system rules across formats.,Salesforce Integration (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Salesforce%20Integration%202322a8cd575580e8a2dac06f25445d7e.md),Medium,"July 18, 2025",Not started,,Subtask
Test form submissions,CRM,,"July 30, 2025",,,"Articulate the key themes through visual  application tests (print, web, promo).",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),Medium,"July 23, 2025",Not started,,Subtask
Train team on updates,CRM,,"July 24, 2025",,,"Complete development of logo, alternates,  and usage system.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"July 18, 2025",Not started,,Subtask
Identify key video goals,Brand,,"July 28, 2025",,,"Establish tone, voice, and emotional
  resonance aligned with core values.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"July 19, 2025",Not started,,Subtask
Write video briefs,Brand,,"August 3, 2025",,,"Evaluate current brand perceptions and
  document key attributes for refinement.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"July 24, 2025",Not started,,Subtask
Coordinate shoot schedule,Brand,,"August 13, 2025",,,"Finalize post-production and video drafts
  in time for rollout.",Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"August 5, 2025",Not started,,Subtask
Edit and review drafts,Brand,,"July 29, 2025",,,Schedule and plan on-location shoots or member interviews.,Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"July 21, 2025",Not started,,Subtask
Publish and promote,Brand,,"August 2, 2025",,,Sketch narrative arc for DCLT annual campaigns and online presence.,Video Strategy (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Video%20Strategy%202322a8cd575580d8a4c4f03da63a3cae.md),Medium,"July 27, 2025",Not started,,Subtask
Finalize color palette,Brand,,"July 28, 2025",,,"Implement Flows to send renewal + event
  reminders based on filters.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"July 24, 2025",Not started,,Subtask
Define typography scale,Brand,,"August 9, 2025",,,"Clarify what data should sync to Constant
  Contact + build doc.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"August 4, 2025",Not started,,Subtask
Create icon set,Brand,,"August 8, 2025",,,"Clean up legacy field clutter and build
  ownable iconography.",Visual Identity System (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Visual%20Identity%20System%202322a8cd5755801b8d5ae0446918e8ad.md),Medium,"August 2, 2025",Not started,,Subtask
Design templates,Brand,,"July 31, 2025",,,"Diagram entry points and embed
  storytelling templates across segments.",Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),Medium,"July 21, 2025",Not started,,Subtask
Roll out across platforms,Brand,,"August 4, 2025",,,Identify where users convert or fall off and migrate brand accordingly.,Website Overhaul (%F0%9F%93%8B%20Master%20Task%20Tracker%20(2025-2026)%202322a8cd5755805ebc3cf684c0bc9440/Master%20Task%20Tracker%202322a8cd57558018850af3bee2e57c6a/Website%20Overhaul%202322a8cd575580b3a7dff15efa901e94.md),Medium,"July 28, 2025",Not started,,Subtask
